id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita;despesa_contratada;porcentagem;votos
210000611337;DEPUTADO FEDERAL;RODRIGO MOREIRA BELTRÃO;1333;RODRIGO BELTRÃO;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;CAXIAS DO SUL;16/07/1979;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADVOGADO;N;SUPLENTE;DEFERIDO;;85098.94;82098.94;0,19%;11213.0
210000616464;DEPUTADO FEDERAL;CLÁUDIO RENATO DE OLIVEIRA GONÇALVES;4400;CLÁUDIO GONÇALVES;APTO;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;PORTO ALEGRE;03/12/1960;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;SOCIÓLOGO;N;SUPLENTE;DEFERIDO;141000.0;5533.179999999999;3500.0;0,01%;329.0
210000609500;DEPUTADO FEDERAL;GABRIELA DE OLIVEIRA ZOCH;6505;GABRIELA ZOCH;APTO;DEFERIDO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;SÃO GABRIEL;24/04/1979;FEMININO;ENSINO MÉDIO COMPLETO;SEPARADO(A) JUDICIALMENTE;BRANCA;OUTROS;N;NÃO ELEITO;DEFERIDO;;2250.0;1959.05;0,00%;143.0
210000600058;DEPUTADO FEDERAL;RAFAEL LINCK MOEHLECKE;5002;PROF. RAFAEL LINCK;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;PORTO ALEGRE;11/09/1983;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL;N;SUPLENTE;DEFERIDO;132145.35;11428.85;10318.66;0,07%;4237.0
210000600036;DEPUTADO FEDERAL;BERNADETE DE LOURDES RODRIGUES DE MENEZES;5010;BERNA MENEZES;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;BELÉM;11/08/1959;FEMININO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;SERVIDOR PÚBLICO FEDERAL;N;SUPLENTE;DEFERIDO;200000.0;51169.7;51079.7;0,03%;1551.0
210000616458;DEPUTADO FEDERAL;LENISE ARAUJO CANTARUTTI;5520;LENISE CANTARUTTI;APTO;DEFERIDO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;BAGÉ;24/01/1963;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;OUTROS;N;SUPLENTE;DEFERIDO;;82078.47;80296.85;0,01%;847.0
210000603666;DEPUTADO FEDERAL;AUGUSTO CESAR MARTINS DE OLIVEIRA;2517;CORONEL AUGUSTO CESAR;APTO;DEFERIDO;25;DEM;DEMOCRATAS;RIO DE JANEIRO;14/03/1961;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADVOGADO;N;SUPLENTE;DEFERIDO;145000.0;67615.29;61068.41;0,24%;13862.0
210000610908;DEPUTADO FEDERAL;GILSOMAR DA SILVA;2373;GILSON PADEIRO;APTO;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;PORTO ALEGRE;15/12/1966;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;OUTROS;N;NÃO ELEITO;DEFERIDO;150000.0;8021.92;1973.0;0,05%;2961.0
210000600069;DEPUTADO FEDERAL;ANTÔNIO ARLAN BRUM NUNES;5000;ANTONIO ARLAN;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;RIO GRANDE;08/02/1964;MASCULINO;SUPERIOR COMPLETO;SEPARADO(A) JUDICIALMENTE;BRANCA;PROFESSOR DE ENSINO MÉDIO;N;SUPLENTE;DEFERIDO;;548.4100000000001;458.40999999999997;0,04%;2155.0
210000610892;DEPUTADO FEDERAL;ITO ADOLFO MULLER;2356;ITO MULLER;APTO;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;ARROIO DO MEIO;18/07/1958;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);N;NÃO ELEITO;DEFERIDO;201000.0;60242.07;60242.07;0,02%;1263.0
