id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita;despesa_contratada;porcentagem;votos
160000610006;DEPUTADO FEDERAL;PEDRO SIRINEU MACHADO;5466;PEDRO SIRINEU;APTO;DEFERIDO;54;PPL;PARTIDO PÁTRIA LIVRE;LARANJEIRAS DO SUL;28/07/1961;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;COMERCIANTE;N;NÃO ELEITO;DEFERIDO;85000.0;5596.0;4396.0;0,01%;348.0
160000610004;DEPUTADO FEDERAL;NILTON ALVES PEREIRA;5444;ANÃO TANAJURA;APTO;DEFERIDO;54;PPL;PARTIDO PÁTRIA LIVRE;CAFELANDIA;02/05/1969;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);N;NÃO ELEITO;DEFERIDO;150000.0;20074.0;10423.28;0,05%;2931.0
160000625759;DEPUTADO FEDERAL;CLAUDINO DA SILVA DIAS;5065;CLAUDINO DIAS;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;BARRA DA ESTIVA;07/09/1965;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;PROFESSOR DE ENSINO MÉDIO;N;NÃO ELEITO;DEFERIDO;428306.58;2714.52;2714.52;0,01%;695.0
160000619713;DEPUTADO FEDERAL;JOSE MARIA FERREIRA;5588;JOSE MARIA FERREIRA;APTO;DEFERIDO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;URAI;21/07/1951;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;OUTROS;N;SUPLENTE;DEFERIDO;1745478.05;133450.0;126000.0;0,48%;27716.0
160000619714;DEPUTADO FEDERAL;KATIANE FATIMA DE GOUVÊA;5585;KATIANE DA SEDA;APTO;DEFERIDO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;LONDRINA;19/07/1978;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;DIRETOR DE EMPRESAS;N;SUPLENTE;DEFERIDO;183691.98;51300.0;49901.14;0,02%;960.0
160000621782;DEPUTADO FEDERAL;FULVIO BOBERG;1522;FULVIO BOBERG;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;JACAREZINHO;01/03/1986;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;VEREADOR;N;SUPLENTE;INDEFERIDO COM RECURSO;173371.72;23400.0;15000.0;0,03%;1902.0
160000621817;DEPUTADO FEDERAL;PATRICIA GIMENES RAMOS;6581;PATRICIA RAMOS;INAPTO;RENÚNCIA;65;PC do B;PARTIDO COMUNISTA DO BRASIL;LONDRINA;13/06/1981;FEMININO;ENSINO FUNDAMENTAL COMPLETO;DIVORCIADO(A);BRANCA;OUTROS;N;;;;;;;
160000627759;DEPUTADO FEDERAL;DIEGO MALDONADO;6513;DIEGO MALDONADO;APTO;DEFERIDO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;ARAPONGAS;04/05/1989;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;ECONOMISTA;N;SUPLENTE;DEFERIDO;;20100.0;;0,01%;433.0
160000623014;DEPUTADO FEDERAL;DANIELLE CRISTINA BRAZ;1303;DANI BRAZ;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;CASCAVEL;26/05/1990;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;SERVIDOR PÚBLICO MUNICIPAL;N;SUPLENTE;DEFERIDO;40000.0;88843.0;86870.8;0,19%;10816.0
160000610003;DEPUTADO FEDERAL;NEURO GABIATTI DESENGRINI;2710;NEURO DO VITALIDADE;APTO;DEFERIDO;27;DC;DEMOCRACIA CRISTÃ;ARVOREZINHA;20/11/1960;MASCULINO;ENSINO MÉDIO INCOMPLETO;DIVORCIADO(A);BRANCA;COMERCIANTE;N;NÃO ELEITO;DEFERIDO;930000.0;3688.55;2000.0;0,01%;712.0
